locus_tag,gene_name,synonyms,gene_product,COG,regulator,uniprot,start,end,strand,essential,core_genome,iML1515,oxidizeME,DGF_strain,MS57,pseudogene,y_ome,k_eff,schmidt_prot_med,heckmann_prot_med,proteomics,p1k,p1k_ctrl_log_tpm,p1k_median_log_tpm,p1k_mad_log_tpm,in_iM
b0024,yaaY,yaaY,DUF2575 domain-containing protein YaaY,Function unknown,,P75620,21181,21399,+,False,False,False,False,True,True,False,True,False,,,False,True,3.3954527545,3.872473825,1.2497460226943995,True
b0025,ribF,ribF;yaaC,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,RpoD,P0AG40,21407,22348,+,True,True,True,True,True,True,False,False,True,136.0,207.0,True,True,8.1726282895,7.974349048,0.4373822633669999,False
b0026,ileS,ileS;ilvS,isoleucine--tRNA ligase,"Translation, ribosomal structure and biogenesis","RpoD,RpoH",P00956,22391,25207,+,False,True,False,True,True,True,False,False,True,1652.0,2673.0,True,True,8.937167416000001,8.630005282,0.4491007856580001,False
b0027,lspA,lspA;lsp,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,"RpoD,RpoH",P00804,25207,25701,+,True,False,False,True,True,True,False,False,False,,,False,True,7.637783302999999,7.638965224,0.4666288093320017,False
b0028,fkpB,fkpB;slpA;yaaD,peptidyl-prolyl cis-trans isomerase FkpB,"Post-translational modification, protein turnover,and chaperones","RpoD,RpoH",P0AEM0,25826,26275,+,False,False,False,False,True,True,False,False,True,1206.5,786.0,True,True,7.3203095985,7.261527757,0.4862123437457999,False
b0029,ispH,ispH;lytB;yaaE,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,Lipid transport and metabolism,"RpoD,RpoH",P62623,26277,27227,+,True,True,True,True,True,True,False,False,True,141.5,352.0,True,True,6.9374853695,7.1309263220000005,0.4045327532903996,False
b0030,rihC,rihC;yaaF,ribonucleoside hydrolase RihC,Nucleotide transport and metabolism,,P22564,27293,28207,+,False,False,True,True,True,True,False,False,False,211.5,,True,True,4.4575947445,4.242850221,0.8996970936576001,False
b0031,dapB,dapB,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,"RpoD,ArgP,Nac",P04036,28374,29195,+,True,False,True,True,True,True,False,False,True,1691.5,1929.0,True,True,8.4498148065,7.827564917,1.1068466031756004,True
b0032,carA,carA;pyrA,carbamoyl phosphate synthetase subunit alpha,Nucleotide transport and metabolism,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF,ArcA",P0A6F1,29651,30799,+,False,False,True,True,True,True,False,False,True,4444.5,2154.0,True,True,10.21556431,8.08412212,1.9417005312516,True
b0033,carB,carB;pyrA,carbamoyl phosphate synthetase subunit beta,Nucleotide transport and metabolism,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF",P00968,30817,34038,+,False,False,True,True,True,True,False,False,True,2238.5,2506.0,True,True,9.865357505,7.6721168,1.5908779791197207,True
b0034,caiF,caiF,DNA-binding transcriptional activator CaiF,Transcription,"RpoD,YdcN,H-NS,Fnr,Crp,NarL,Nac",P0AE58,34300,34695,+,False,False,False,False,True,True,False,False,False,,,False,True,5.7256982415,4.851363079,1.3137840490025987,True
b0035,caiE,caiE,putative transferase CaiE,Function unknown,"RpoD,H-NS,Fnr,ArcA,Crp,CaiF",P39206,34781,35371,-,False,False,False,False,True,True,False,True,False,,,False,True,2.270286447,1.7731834306863057,0.7267920839519169,False
b0036,caiD,caiD;yaaL,crotonobetainyl-CoA hydratase,Lipid transport and metabolism,"RpoD,H-NS,Fnr,Crp,ArcA,CaiF",P31551,35377,36162,-,False,False,True,True,True,True,False,False,False,,,False,True,1.126332969,1.2990903176222093,0.5913613370883126,False
b0037,caiC,caiC;yaaM,carnitine-CoA ligase,Lipid transport and metabolism,"RpoD,YbiH,H-NS,Fnr,Crp,ArcA,CaiF",P31552,36271,37824,-,False,False,True,True,True,True,False,False,False,,,False,True,3.0086073835,2.7341611619638537,0.5492102074924096,False
b0038,caiB,caiB;yaaN,gamma-butyrobetainyl-CoA:carnitine CoA transferase,Energy production and conversion,"RpoD,H-NS,Fnr,Crp,ArcA,CaiF",P31572,37898,39115,-,False,False,True,True,True,True,False,False,False,,,False,True,2.5269069305,2.850299283,0.5269157316192,False
b0039,caiA,caiA;yaaO,crotonobetainyl-CoA reductase,Lipid transport and metabolism,"RpoD,YfeC,H-NS,Fnr,Crp,ArcA,CaiF,spf",P60584,39244,40386,-,False,False,False,False,True,True,False,False,False,,,False,True,3.370784767,3.6331426033618666,0.6259960684498961,False
b0040,caiT,caiT;yaaP,L-carnitine:gamma-butyrobetaine antiporter,Cell wall/membrane/envelope biogenesis,"RpoD,H-NS,Fnr,Crp,ArcA,CaiF",P31553,40417,41931,-,False,False,True,True,True,True,False,False,False,,,False,True,0.80062966,1.025212414,0.3950978175102,False
b0041,fixA,fixA;yaaQ,putative electron transfer flavoprotein FixA,Energy production and conversion,"RpoD,Fnr,Crp,CaiF",P60566,42403,43173,+,False,False,False,False,True,True,False,True,False,,,False,True,1.5463373265,1.2907153340000002,0.5357390637648002,False
b0042,fixB,fixB;yaaR,putative electron transfer flavoprotein FixB,Energy production and conversion,"RpoD,YbaQ,Fnr,Crp,CaiF",P31574,43188,44129,+,False,False,False,False,True,True,False,True,False,,,False,True,1.159477227,1.1286936505778378,0.4908501692136975,False
b0043,fixC,fixC;yaaS,putative oxidoreductase FixC,Energy production and conversion,"RpoD,Fnr,Crp,CaiF",P68644,44180,45466,+,False,False,False,False,True,True,False,True,False,,,False,True,1.048258925,1.134635631,0.4344666029634001,False
b0044,fixX,fixX;yaaT,putative ferredoxin FixX,Energy production and conversion,,P68646,45463,45750,+,False,False,False,False,True,True,False,True,False,,,False,True,1.0564539469112129,1.065221997113529,0.6699981801362889,True
b0045,yaaU,yaaU;yabE,putative transporter YaaU,Inorganic ion transport and metabolism,"RpoN,ArgR",P31679,45807,47138,+,False,False,False,False,True,True,False,True,False,,,False,True,0.5528232255000001,0.935427199,0.393786827896763,False
b0046,kefF,kefF;yabF,regulator of KefC-mediated potassium transport and quinone oxidoreductase,Energy production and conversion,,P0A754,47246,47776,+,False,False,True,False,True,True,False,False,False,,,False,True,4.842012191,4.391251187807568,0.8110521093230998,False
b0047,kefC,kefC;trkC,K(+) : H(+) antiporter KefC,Inorganic ion transport and metabolism,YfeD,P03819,47769,49631,+,False,False,True,True,True,True,False,False,False,3.5,,True,True,4.497581779,4.044100623,0.6034350289322273,False
b0048,folA,folA;tmrA,dihydrofolate reductase,Coenzyme transport and metabolism,"RpoD,IHF,TyrR,ppGpp",P0ABQ4,49823,50302,+,True,False,True,True,True,True,False,False,True,238.0,246.0,True,True,6.7339129395,6.533976666,0.5607364292040021,False
b0049,apaH,apaH,diadenosine tetraphosphatase,Signal transduction mechanisms,"RpoE,Fis",P05637,50380,51222,-,False,False,True,True,True,True,False,False,False,41.5,,True,True,6.3336883645,5.716052741,0.5765662309470001,False
b0050,apaG,apaG,DUF525 domain-containing protein ApaG,Inorganic ion transport and metabolism,"RpoE,Fis",P62672,51229,51606,-,False,False,False,False,True,True,False,True,False,17.0,,True,True,6.945484136499999,7.160799502000001,0.6045908659823044,False
b0051,rsmA,rsmA;ksgA,16S rRNA m(6)2A1518%2Cm(6)2A1519 dimethyltransferase,"Translation, ribosomal structure and biogenesis","RpoE,Fis",P06992,51609,52430,-,False,True,False,True,True,True,False,False,True,136.0,221.0,True,True,7.7205442575,7.405489566896454,0.4875160901412836,False
b0052,pdxA,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,Coenzyme transport and metabolism,"RpoE,Fis,GlaR",P19624,52427,53416,-,False,True,True,True,True,True,False,False,True,156.0,123.0,True,True,7.476204783500001,6.661087816,0.4681364118983982,False
b0053,surA,surA,peptidyl-prolyl cis-trans isomerase SurA,"Post-translational modification, protein turnover,and chaperones",RpoE,P0ABZ6,53416,54702,-,False,False,False,True,True,True,False,False,True,1188.0,1030.0,True,True,8.6814523625,8.262809092000001,0.258158396617803,False
b0054,lptD,lptD;imp;ostA;yabG,lipopolysaccharide assembly protein LptD,Cell wall/membrane/envelope biogenesis,"RpoD,YcjW,RpoE",P31554,54755,57109,-,True,False,True,False,True,True,False,False,True,373.0,1028.0,True,True,8.575389492500001,8.455359385,0.3249302987783999,False
b0055,djlA,djlA;yabH,co-chaperone protein DjlA,"Post-translational modification, protein turnover,and chaperones",,P31680,57364,58179,+,False,False,False,False,True,True,False,False,True,26.5,161.0,True,True,5.764138332,5.59722025,0.3812142307175995,False
b0056,yabP,,putative uncharacterized protein YabP,Function unknown,,UPI000013A00F,58474,59124,+,False,False,False,False,False,False,False,True,False,,,False,True,5.412594026000001,5.887044773,0.6315082660740017,False
b0057,yabQ,,protein YabQ,No COG annotation,Lrp,UPI000013A010,59121,59279,+,True,False,False,False,False,False,False,True,False,,,False,True,5.4706689005,6.213217731,1.0104686364645263,False
b0058,rluA,rluA;yabO,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,"Translation, ribosomal structure and biogenesis","RpoD,ppGpp",P0AA37,59687,60346,-,False,True,False,True,True,True,False,False,False,,,False,True,5.5991181045000005,5.449215004849472,0.6796849013922236,True
b0059,rapA,rapA;hepA;yabA,RNA polymerase-binding ATPase and RNAP recycling factor,Transcription,"RpoD,RpoH,ppGpp",P60240,60358,63264,-,False,False,False,False,True,True,False,False,True,82.0,780.0,True,True,6.228164242,5.664118725,0.7415606840753997,False
b0060,polB,polB;dinA,DNA polymerase II,"Replication, recombination and repair","RpoD,LexA",P21189,63429,65780,-,False,False,False,False,True,True,False,False,False,,,False,True,4.142933277999999,4.041175622,0.5996347856771996,True
b0061,araD,araD,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,"RpoD,AraC,Crp",P08203,65855,66550,-,False,False,True,True,False,True,False,False,False,,,False,True,2.0865462435,1.55748232,0.8555005548894001,True
b0062,araA,araA,L-arabinose isomerase,Carbohydrate transport and metabolism,"RpoD,AraC,Crp",P08202,66835,68337,-,False,False,True,True,False,True,False,False,False,,,False,True,2.076401756,2.009838965,1.06410864777,True
b0063,araB,araB,ribulokinase,Nucleotide transport and metabolism,"RpoD,AraC,Crp",P08204,68348,70048,-,False,False,True,True,False,True,False,False,False,,,False,True,1.745985316,1.392206855,1.0724409887562,True
b0064,araC,araC,DNA-binding transcriptional dual regulator AraC,Transcription,"RpoD,AraC,XylR,Crp",P0A9E0,70387,71265,+,False,False,False,False,False,True,False,False,False,,,False,True,5.3104487165,5.493642905,0.802830847983305,False
b0065,yabI,yabI,DedA family protein YabI,Function unknown,"YeiE,RpoS,ppGpp",P30149,71351,72115,+,False,False,False,False,False,True,False,True,False,,,False,True,4.458300621999999,4.91702974,0.6230635588338005,False
b0066,thiQ,thiQ;yabJ,thiamine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,ppGpp,SgrR,DksA",P31548,72229,72927,-,False,False,True,True,False,True,False,False,False,,,False,True,5.1383436755,4.386960721,0.9480915654000002,False
b0067,thiP,thiP;yabK,thiamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,"RpoD,YcjW,ppGpp,SgrR,DksA",P31549,72911,74521,-,False,False,True,True,False,True,False,False,False,,,False,True,5.12491422,4.141690055,1.0960842348287998,True
b0068,thiB,thiB;tbpA;yabL,thiamine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,"RpoD,SgrR,ppGpp,DksA",P31550,74497,75480,-,False,False,True,True,False,True,False,False,True,18.0,639.0,True,True,7.643317257,6.463759995,1.373143212100799,True
b0069,sgrR,sgrR;yabN,DNA-binding transcriptional dual regulator SgrR,Transcription,"RpoD,SgrR,ppGpp,DksA",P33595,75644,77299,-,False,False,False,False,False,True,False,False,False,,,False,True,4.981998970999999,4.471184479,0.557607860027401,False
b4662,sgrT,sgrT,putative inhibitor of the PtsG glucose transporter,Energy production and conversion,"RpoD,RpoS,Cra,SgrR,ppGpp,DksA",C1P5Z7,77388,77519,+,False,False,False,False,False,True,False,True,False,,,False,True,4.960054601,5.649276763798858,1.4656237294675551,True
b0070,setA,setA;yabM,sugar exporter SetA,Inorganic ion transport and metabolism,"RpoD,RpoS,Cra,SgrR,ppGpp,DksA",P31675,77621,78799,+,False,False,True,True,False,True,False,False,False,,,False,True,4.0621064075,4.424911325,0.5587777426223999,False
b0071,leuD,leuD,3-isopropylmalate dehydratase subunit LeuD,Amino acid transport and metabolism,"RpoD,LeuO,Leu-tRNA,ppGpp",P30126,78848,79453,-,False,True,True,True,True,True,False,False,True,5155.5,2239.0,True,True,9.9694924935,9.649928869,0.837589964076599,True
b0072,leuC,leuC,3-isopropylmalate dehydratase subunit LeuC,Amino acid transport and metabolism,"RpoD,YeiE,LeuO,Leu-tRNA,ppGpp",P0A6A6,79464,80864,-,False,True,True,True,True,True,False,False,True,2280.0,3998.0,True,True,9.9222611295,9.552405304,0.9546443846016,True
b0073,leuB,leuB,3-isopropylmalate dehydrogenase,Energy production and conversion,"RpoD,LeuO,Leu-tRNA,ppGpp",P30125,80867,81958,-,False,True,True,True,True,True,False,False,True,4854.0,3121.0,True,True,9.715227357,9.402138913582938,0.9890265243968642,True
b0074,leuA,leuA,2-isopropylmalate synthase,Amino acid transport and metabolism,"RpoD,LeuO,Leu-tRNA,Lrp,ppGpp",P09151,81958,83529,-,False,True,True,True,True,True,False,False,True,3424.5,2657.0,True,True,9.2870321955,9.282341655,0.828215178861,True
b0075,leuL,leuL;leuLP,leu operon leader peptide,No COG annotation,,P0AD79,83622,83708,-,False,False,False,False,True,True,False,True,False,,,False,False,9.421490118783185,6.025746773335411,2.75748791207602,False
b0076,leuO,leuO,DNA-binding transcriptional dual regulator LeuO,Transcription,"RpoD,StpA,LeuO,LrhA,RcsB-BglJ,SlyA,H-NS,Lrp,Nac,ppGpp",P10151,84368,85312,+,False,False,False,False,True,True,False,False,False,,,False,True,2.694797965,2.9632691510000004,0.6990484797240004,True
b4726,yabR,,protein YabR,No COG annotation,,UPI000E466577,85467,85511,-,False,False,False,False,False,False,False,False,False,,,False,False,0.0,0.0,0.0,False
b0077,ilvI,ilvI,acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit,Coenzyme transport and metabolism,"RpoD,YeiE,dsrA,H-NS,ppGpp,Lrp",P00893,85630,87354,+,False,False,True,True,True,True,False,False,True,366.0,989.0,True,True,8.172370361,7.873494737000001,0.5063282724065986,True
b0078,ilvH,ilvH;brnP,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,Amino acid transport and metabolism,"RpoD,H-NS,ppGpp,Lrp",P00894,87357,87848,+,False,False,True,True,True,True,False,False,True,1266.5,896.0,True,True,7.767715782,7.926582297774114,0.4768714496184987,True
b0080,cra,cra;fruC;fruR;shl,DNA-binding transcriptional dual regulator Cra,Transcription,"PhoB,RpoH",P0ACP1,88028,89032,+,False,False,False,False,True,True,False,False,True,255.5,182.0,True,True,7.274693064499999,7.066894578945563,0.4002137459053825,True
b0081,mraZ,mraZ;yabB,DNA-binding transcriptional repressor MraZ,Transcription,"RpoD,YdcN,YqhC,MraZ,PdhR",P22186,89634,90092,+,False,False,False,False,True,True,False,False,False,135.5,,True,True,7.7522868365,7.976034939011306,0.5274664304678736,True
b0082,rsmH,rsmH;mraW;yabC,16S rRNA m(4)C1402 methyltransferase,"Translation, ribosomal structure and biogenesis","RpoD,MraZ,PdhR",P60390,90094,91035,+,False,False,False,True,True,True,False,False,True,343.0,413.0,True,True,7.4144018395,7.20840866,0.4876757351802004,True
b0083,ftsL,ftsL;mraR;yabD,cell division protein FtsL,"Cell cycle control, cell division, chromosome partitioning","RpoD,LexA,MraZ,PdhR",P0AEN4,91032,91397,+,True,False,False,False,True,True,False,False,False,24.0,,True,True,7.256369088,6.757426357999999,0.6035358106989918,True
b0084,ftsI,ftsI;pbpB,peptidoglycan DD-transpeptidase FtsI,Cell wall/membrane/envelope biogenesis,"RpoD,YbaQ,LexA,MraZ,PdhR",P0AD68,91413,93179,+,True,True,True,True,True,True,False,False,True,14.0,129.0,True,True,6.60873337,6.416933996,0.5258895144467999,False
b0085,murE,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,Cell wall/membrane/envelope biogenesis,"RpoD,LexA,MraZ,PdhR",P22188,93166,94653,+,True,False,True,True,True,True,False,False,True,396.0,462.0,True,True,7.1229821885,6.994103187,0.4576337186986742,True
b0086,murF,murF;mra,D-alanyl-D-alanine-adding enzyme,Cell wall/membrane/envelope biogenesis,"RpoD,LexA,MraZ,PdhR",P11880,94650,96008,+,True,True,True,True,True,True,False,False,True,421.5,244.0,True,True,7.0632407205,6.872898639,0.4102700446403993,True
b0087,mraY,mraY;murX,phospho-N-acetylmuramoyl-pentapeptide-transferase,Cell wall/membrane/envelope biogenesis,"RpoD,LexA,MraZ,PdhR",P0A6W3,96002,97084,+,True,True,True,True,True,True,False,False,True,23.5,236.0,True,True,6.5353612755,6.581486732,0.3650766293538,True
b0088,murD,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,Cell wall/membrane/envelope biogenesis,"RpoD,YidZ,LexA,MraZ,PdhR,GlaR",P14900,97087,98403,+,True,False,True,True,True,True,False,False,True,61.0,308.0,True,True,6.943873888500001,6.743723061,0.4359163633733999,True
b0089,ftsW,ftsW,putative lipid II flippase FtsW,"Cell cycle control, cell division, chromosome partitioning","RpoD,LexA,MraZ,PdhR",P0ABG4,98403,99647,+,True,False,True,False,True,True,False,False,False,,,False,True,6.355992297,6.476025628,0.3614995440252002,True
b0090,murG,murG,N-acetylglucosaminyl transferase,Cell wall/membrane/envelope biogenesis,"RpoD,LexA,MraZ,PdhR",P17443,99644,100711,+,True,True,True,True,True,True,False,False,True,83.5,239.0,True,True,6.5633841655000005,6.554972152,0.3794621162765982,True
b0091,murC,murC,UDP-N-acetylmuramate--L-alanine ligase,Cell wall/membrane/envelope biogenesis,"RpoD,LexA,MraZ,PdhR",P17952,100765,102240,+,True,False,True,True,True,True,False,False,True,350.5,458.0,True,True,6.9717189785,7.008050356,0.3236290919232002,True
b0092,ddlB,ddlB;ddl,D-alanine--D-alanine ligase B,Nucleotide transport and metabolism,"RpoD,LexA,MraZ,PdhR",P07862,102233,103153,+,False,False,True,True,True,True,False,False,True,504.5,377.0,True,True,7.234280321,7.388255556,0.320333088280801,False
b0093,ftsQ,ftsQ,cell division protein FtsQ,"Cell cycle control, cell division, chromosome partitioning","RpoD,RpoS,LexA,MraZ,PdhR,SdiA,Lrp,ppGpp",P06136,103155,103985,+,True,False,False,False,True,True,False,False,False,,,False,True,7.1636415655,7.301390415,0.3945269572062009,False
b0094,ftsA,ftsA;divA,cell division protein FtsA,"Cell cycle control, cell division, chromosome partitioning","RpoD,RpoS,LexA,MraZ,PdhR,RcsB,SdiA,ppGpp",P0ABH0,103982,105244,+,True,False,False,False,True,True,False,False,True,533.0,498.0,True,True,7.009142278500001,7.5012537739999985,0.4828135455149981,False
b0095,ftsZ,ftsZ;sfiB;sulB,cell division protein FtsZ,"Cell cycle control, cell division, chromosome partitioning","RpoD,dicF,RpoS,LexA,MraZ,PdhR,RcsB,SdiA,ArgR,ppGpp",P0A9A6,105305,106456,+,True,False,False,False,True,True,False,False,True,4342.0,2650.0,True,True,9.265014073,9.155345431,0.4480021864709986,False
b0096,lpxC,lpxC;asmB;envA,UDP-3-O-acyl-N-acetylglucosamine deacetylase,Cell wall/membrane/envelope biogenesis,"RpoD,LexA,MraZ,PdhR",P0A725,106557,107474,+,True,True,True,True,True,True,False,False,True,112.0,180.0,True,True,9.7077652025,10.29018819,0.3705017400000003,True
b0097,secM,secM;srrA;yacA,SecA translation regulator,Function unknown,,P62395,107705,108217,+,True,False,False,False,True,True,False,False,False,,,False,True,8.89028317,7.887164636068388,0.3963726238085918,False
b0098,secA,secA;azi;pea;prlD,protein translocation ATPase,"Intracellular trafficking, secretion, and vesicular transport",,P10408,108279,110984,+,True,False,False,True,True,True,False,False,True,686.0,1485.0,True,True,7.651831151,7.681890677999999,0.335223691093201,False
b0099,mutT,mutT,8-oxo-dGTP diphosphatase,"Replication, recombination and repair",,P08337,111044,111433,+,False,False,True,True,True,True,False,False,False,,,False,True,4.503869365,4.61401188,0.8245275790458002,False
b0101,yacG,yacG,DNA gyrase inhibitor YacG,Function unknown,,P0A8H8,111649,111846,-,False,False,False,False,True,True,False,False,False,49.5,,True,True,6.748642904,6.729964543,0.6285350496557998,False
b0102,zapD,zapD;yacF,cell division factor ZapD,"Cell cycle control, cell division, chromosome partitioning",,P36680,111856,112599,-,False,False,False,False,True,True,False,False,True,267.5,371.0,True,True,6.9094037175,6.538058172,0.5441160132198012,False
b0103,coaE,coaE;yacE,dephospho-CoA kinase,Nucleotide transport and metabolism,"YqhC,YneJ",P0A6I9,112599,113219,-,False,False,True,True,True,True,False,False,False,54.0,,True,True,6.769884246,6.2816516270000005,0.5684538855617995,False
b4727,yacM,,protein YacM,No COG annotation,,UPI000E46656E,113244,113288,+,False,False,False,False,False,False,False,False,False,,,False,False,0.0,0.0,0.0,False
b0104,guaC,guaC,GMP reductase,Nucleotide transport and metabolism,YiaU,P60560,113444,114487,+,False,False,True,True,True,True,False,False,True,965.5,1352.0,True,True,8.8614683545,8.109765649,0.8126798615082015,False
b0106,hofC,hofC;hopC;yacD,inner membrane protein HofC,"Intracellular trafficking, secretion, and vesicular transport","RpoD,Crp,Nac",P36646,114522,115724,-,False,False,False,False,True,True,False,True,False,,,False,True,2.326886012,2.464637041,0.3692301895925999,False
b0107,hofB,hofB;hopB,T2SSE family protein,Cell motility,"RpoD,YdcN,Crp",P36645,115714,117099,-,False,False,False,False,True,True,False,True,False,,,False,True,2.62730734,2.8199362139952733,0.530135076497662,False
b0108,ppdD,ppdD,prepilin peptidase-dependent protein,Cell motility,"RpoD,Crp",P36647,117109,117549,-,False,False,False,False,True,True,False,True,False,,,False,True,0.871956041,0.864228413,0.6137053695520186,False
